,name,localidad,latitude,longitude,type,color
54,Halley,USAQUEN,4.6995803,-74.04267209999999,mall,#35BEAD
55,Floresta Outlet,SUBA,4.6917871,-74.0746236,mall,#35BEAD
56,Galerías,TEUSAQUILLO,4.643118200000001,-74.074784,mall,#35BEAD
57,Granada Hills,USAQUEN,4.7293459,-74.0494184,mall,#35BEAD
58,Hacienda Santa Bárbara,USAQUEN,4.693390400000001,-74.0328937,mall,#35BEAD
59,Hayuelos,FONTIBON,4.6637797,-74.1307305,mall,#35BEAD
60,Heliocentro,ANTONIO NARIÑO,4.5878744,-74.10037009999999,mall,#35BEAD
61,Iserra 100,BARRIOS UNIDOS,4.6510245,-74.06022879999999,mall,#35BEAD
62,La Gallerie,USAQUEN,4.697616399999999,-74.0432901,mall,#35BEAD
63,La Novena,CANDELARIA,4.6006658,-74.0762937,mall,#35BEAD
64,La Sabana,LOS MARTIRES,4.6059169,-74.0841933,mall,#35BEAD
65,Intercentro,SANTA FE,4.6104897,-74.0711468,mall,#35BEAD
66,La Colina 138,SUBA,4.7261389,-74.0603546,mall,#35BEAD
67,La Macarena,SANTA FE,4.613884,-74.0670629,mall,#35BEAD
68,La Pajarera del 20,SAN CRISTOBAL,4.5723183,-74.0909791,mall,#35BEAD
69,Lago 80,CHAPINERO,4.666458899999999,-74.05709499999999,mall,#35BEAD
70,Lagocentro,CHAPINERO,4.6662352,-74.0574776,mall,#35BEAD
71,Las Avenidas,LOS MARTIRES,4.6037111,-74.0803695,mall,#35BEAD
72,Los Angeles,SANTA FE,4.6036964,-74.0697591,mall,#35BEAD
73,Mazuren,SUBA,4.7362611,-74.0498336,mall,#35BEAD
74,Metro 127,USAQUEN,4.7037599,-74.04312829999999,mall,#35BEAD
75,Las Américas,PUENTE ARANDA,4.602121299999999,-74.1137347,mall,#35BEAD
76,Los 3 Elefantes,SUBA,4.6914421,-74.06315049999999,mall,#35BEAD
77,Mall 138,SUBA,4.727759199999999,-74.0678179,mall,#35BEAD
78,Mercurio,MUNICIPIOS ALEDAÑOS,4.6192548,-74.0681105,mall,#35BEAD
79,Metro San Cayetano,ENGATIVA,4.6772572,-74.11566959999999,mall,#35BEAD
80,Metrocentro,SANTA FE,4.6007397,-74.07781419999999,mall,#35BEAD
81,Milenio Center,LOS MARTIRES,4.6042779,-74.0811058,mall,#35BEAD
82,Minicentro comercial La Trece,LOS MARTIRES,4.6038842,-74.079937,mall,#35BEAD
83,Monserrate,CANDELARIA,4.6047477,-74.0716946,mall,#35BEAD
84,Mundo Artesanal,TEUSAQUILLO,4.6406466,-74.0667653,mall,#35BEAD
85,Metrópolis,BARRIOS UNIDOS,4.6804792,-74.0823131,mall,#35BEAD
86,Milenio Plaza,KENNEDY,4.6297698,-74.1692011,mall,#35BEAD
87,Mirandela Plaza,SUBA,4.7655923,-74.04718869999999,mall,#35BEAD
88,Mundo Arte de la 53,TEUSAQUILLO,4.6407313,-74.0686435,mall,#35BEAD
89,Mundo G.S.M,LOS MARTIRES,4.6039008,-74.08052750000002,mall,#35BEAD
90,Niza,SUBA,4.712281,-74.0712189,mall,#35BEAD
91,Opera Plaza,SANTA FE,4.6141557,-74.07114729999999,mall,#35BEAD
92,Orbicentro 2,TEUSAQUILLO,4.6420312,-74.0763192,mall,#35BEAD
93,Palatino,USAQUEN,4.7155447,-74.029229,mall,#35BEAD
94,Parque La Colina,SUBA,4.7322313,-74.06660649999999,mall,#35BEAD
95,Omni 19,SANTA FE,4.6056362,-74.072441,mall,#35BEAD
96,Orbicentro,USAQUEN,4.698016,-74.043425,mall,#35BEAD
97,Outlet Centro Comercial Bima,SUBA,4.80786,-74.0378783,mall,#35BEAD
98,Palma Real,SANTA FE,4.6157507,-74.0699616,mall,#35BEAD
99,Pasaje comercial de la Sabana,LOS MARTIRES,4.6038709,-74.0805924,mall,#35BEAD
100,Pasaje comercial Tecnicelulares,LOS MARTIRES,4.6041777,-74.080987,mall,#35BEAD
101,Pasaje Paisa,SANTA FE,4.5999056,-74.0793504,mall,#35BEAD
102,Paseo San Rafael,SUBA,4.7230129,-74.0621409,mall,#35BEAD
103,Plaza 138,SUBA,4.7290556,-74.0660675,mall,#35BEAD
104,Plaza 54,TEUSAQUILLO,4.6428885,-74.0740344,mall,#35BEAD
105,Pasaje La Piñata,TUNJUELITO,4.5921749,-74.1347653,mall,#35BEAD
106,Paseo San Rafael,SUBA,4.7228893,-74.0622362,mall,#35BEAD
107,Plaza 102,USAQUEN,4.6878579,-74.05198010000001,mall,#35BEAD
108,Plaza 39,SANTA FE,4.6257413,-74.0659822,mall,#35BEAD
109,Plaza 80,SUBA,4.6924202,-74.086337,mall,#35BEAD
110,Plaza Aventura,SUBA,4.720105,-74.0683037,mall,#35BEAD
111,Plaza Center,LOS MARTIRES,4.603498500000001,-74.0802179,mall,#35BEAD
112,Plaza Comercial Primavera,ENGATIVA,4.70349,-74.1027872,mall,#35BEAD
113,Plaza Imperial,SUBA,4.7499839,-74.0958334,mall,#35BEAD
114,Portal 80,ENGATIVA,4.709607999999999,-74.1112871,mall,#35BEAD
115,Plaza Belaire,USAQUEN,4.727362400000001,-74.02425889999999,mall,#35BEAD
116,Plaza Central,PUENTE ARANDA,4.6318002,-74.1154979,mall,#35BEAD
117,Plaza de las Américas,KENNEDY,4.618056,-74.1350296,mall,#35BEAD
118,Plaza Mayor Centro Comercial,MUNICIPIOS ALEDAÑOS,4.8628444,-74.0533322,mall,#35BEAD
119,Portoalegre,SUBA,4.7277656,-74.06508,mall,#35BEAD
120,Puerta del Sol,USAQUEN,4.7194655,-74.0367234,mall,#35BEAD
121,Puerto López,TUNJUELITO,4.5927472,-74.13468379999999,mall,#35BEAD
122,Quirinal,TEUSAQUILLO,4.6523644,-74.0871859,mall,#35BEAD
123,Runcar,SAN CRISTOBAL,4.5704803,-74.0937877,mall,#35BEAD
124,Sabana Plaza,LOS MARTIRES,4.606931599999999,-74.0852701,mall,#35BEAD
125,Puerta Grande San Jose,LOS MARTIRES,4.606351399999999,-74.08916239999999,mall,#35BEAD
126,Punto 72,ENGATIVA,4.6966464,-74.1064281,mall,#35BEAD
127,Rego conjunto comercial,ANTONIO NARIÑO,4.593783999999999,-74.1373832,mall,#35BEAD
128,Sabana Norte Chia,MUNICIPIOS ALEDAÑOS,4.5836462,-74.0774159,mall,#35BEAD
129,Salitre Plaza,FONTIBON,4.653319199999999,-74.1101482,mall,#35BEAD
130,San Diego,ANTONIO NARIÑO,4.586274599999999,-74.1019879,mall,#35BEAD
131,San Martín,SANTA FE,4.6188193,-74.0679005,mall,#35BEAD
132,Santafé,SUBA,4.763217,-74.0458089,mall,#35BEAD
133,Show Place,USAQUEN,4.723222,-74.02683929999999,mall,#35BEAD
134,Starco,USAQUEN,4.6966245,-74.0429102,mall,#35BEAD
135,San Francisco,ENGATIVA,4.697703499999999,-74.0927299,mall,#35BEAD
136,Santa Ana,USAQUEN,4.6909377,-74.03859059999999,mall,#35BEAD
137,Shopping 104,USAQUEN,4.6886092,-74.0471385,mall,#35BEAD
138,Social del Restrepo,ANTONIO NARIÑO,4.5888596,-74.0994156,mall,#35BEAD
139,Subazar,SUBA,4.738532999999999,-74.08516399999999,mall,#35BEAD
140,Terraza Pasteur,SANTA FE,4.609756,-74.07003329999999,mall,#35BEAD
141,Titan Plaza,SUBA,4.695188400000001,-74.08624209999999,mall,#35BEAD
142,Unicentro,USAQUEN,4.703228,-74.0421727,mall,#35BEAD
143,Unilago,CHAPINERO,4.664958899999999,-74.0584452,mall,#35BEAD
144,Unisur,MUNICIPIOS ALEDAÑOS,4.5849034,-74.2068823,mall,#35BEAD
145,Tintal Plaza,KENNEDY,4.6419128,-74.1550203,mall,#35BEAD
146,Torre Ciudad Ltda,PUENTE ARANDA,4.630738099999999,-74.1172287,mall,#35BEAD
147,Unicentro de Occidente,ENGATIVA,4.723000799999999,-74.1150035,mall,#35BEAD
148,Unilago,CHAPINERO,4.664958899999999,-74.0584452,mall,#35BEAD
149,Universal,LOS MARTIRES,4.6035749,-74.0801673,mall,#35BEAD
150,21 Ángeles,SUBA,4.735434,-74.080854,wifi_hotspot,#EB0064
151,AV. 1 Mayo,SAN CRISTOBAL,4.576937,-74.093707,wifi_hotspot,#EB0064
152,AV. 39,SANTA FE,4.626897,-74.068691,wifi_hotspot,#EB0064
153,AV. El Dorado,TEUSAQUILLO,4.630663,-74.079866,wifi_hotspot,#EB0064
154,Banderas,KENNEDY,4.631301,-74.145769,wifi_hotspot,#EB0064
155,Biblioteca Tintal,KENNEDY,4.637899,-74.159345,wifi_hotspot,#EB0064
156,Bosa,CIUDAD BOLIVAR,4.596879,-74.181225,wifi_hotspot,#EB0064
157,CAD,LOS MARTIRES,4.62341,-74.084167,wifi_hotspot,#EB0064
158,Calle 100,CHAPINERO,4.683947,-74.057696,wifi_hotspot,#EB0064
159,Calle 146,USAQUEN,4.730893,-74.049822,wifi_hotspot,#EB0064
160,Calle 187,USAQUEN,4.76333,-74.044404,wifi_hotspot,#EB0064
161,Calle 22,LOS MARTIRES,4.611695,-74.074684,wifi_hotspot,#EB0064
162,Calle 26,SANTA FE,4.616645,-74.072152,wifi_hotspot,#EB0064
163,Calle 34,TEUSAQUILLO,4.621586,-74.069754,wifi_hotspot,#EB0064
164,Calle 72,CHAPINERO,4.658239,-74.062069,wifi_hotspot,#EB0064
165,Calle 76,CHAPINERO,4.66303,-74.06126,wifi_hotspot,#EB0064
166,Carrera 47,BARRIOS UNIDOS,4.678006,-74.073641,wifi_hotspot,#EB0064
167,Centro Comercial Paseo Villa del Río - Madelena,CIUDAD BOLIVAR,4.596255,-74.156875,wifi_hotspot,#EB0064
168,Centro Memoria,TEUSAQUILLO,4.620466,-74.076313,wifi_hotspot,#EB0064
169,Consuelo,RAFAEL URIBE URIBE,4.560225,-74.123869,wifi_hotspot,#EB0064
170,El Tiempo - Maloka,ENGATIVA,4.657081,-74.105625,wifi_hotspot,#EB0064
171,Fucha,ANTONIO NARIÑO,4.582964,-74.099398,wifi_hotspot,#EB0064
172,General Santander,PUENTE ARANDA,4.593569,-74.129545,wifi_hotspot,#EB0064
173,Héroes,CHAPINERO,4.668136,-74.060312,wifi_hotspot,#EB0064
174,Hospital,SANTA FE,4.595046,-74.08622,wifi_hotspot,#EB0064
175,Las Aguas,SANTA FE,4.60258,-74.068401,wifi_hotspot,#EB0064
176,Las Nieves,SANTA FE,4.606061,-74.074319,wifi_hotspot,#EB0064
177,Minuto de Dios,ENGATIVA,4.696655,-74.091482,wifi_hotspot,#EB0064
178,Modelia,ENGATIVA,4.675044,-74.117117,wifi_hotspot,#EB0064
179,Molinos,RAFAEL URIBE URIBE,4.557059,-74.121834,wifi_hotspot,#EB0064
180,Movistar Arena,TEUSAQUILLO,4.650039,-74.078346,wifi_hotspot,#EB0064
181,Museo del Oro,SANTA FE,4.601161,-74.072898,wifi_hotspot,#EB0064
182,Museo Nacional,SANTA FE,4.615247,-74.069226,wifi_hotspot,#EB0064
183,Nariño,ANTONIO NARIÑO,4.586286,-74.093926,wifi_hotspot,#EB0064
184,Normandía,ENGATIVA,4.669021,-74.11326,wifi_hotspot,#EB0064
185,Olaya,RAFAEL URIBE URIBE,4.578909,-74.107361,wifi_hotspot,#EB0064
186,Patio Bonito,KENNEDY,4.633172,-74.164606,wifi_hotspot,#EB0064
187,Pepe Sierra,USAQUEN,4.698125,-74.055298,wifi_hotspot,#EB0064
188,Perdomo,BOSA,4.595776,-74.164971,wifi_hotspot,#EB0064
189,Policarpa,SAN CRISTOBAL,4.586257,-74.086921,wifi_hotspot,#EB0064
190,Portal 20 de Julio,SAN CRISTOBAL,4.565718,-74.097008,wifi_hotspot,#EB0064
191,Portal de la 80,ENGATIVA,4.709829,-74.110506,wifi_hotspot,#EB0064
192,Portal de las Américas,KENNEDY,4.629381,-74.173058,wifi_hotspot,#EB0064
193,Portal de Suba,SUBA,4.746815,-74.094279,wifi_hotspot,#EB0064
194,Portal de Usme,USME,4.531715,-74.119391,wifi_hotspot,#EB0064
195,Portal del Norte,USAQUEN,4.754621,-74.046035,wifi_hotspot,#EB0064
196,Portal del Sur,BOSA,4.597013,-74.169398,wifi_hotspot,#EB0064
197,Portal del Tunal,TUNJUELITO,4.569571,-74.13924,wifi_hotspot,#EB0064
198,Portal El Dorado,FONTIBON,4.681604,-74.121395,wifi_hotspot,#EB0064
199,Pradera,PUENTE ARANDA,4.628532,-74.118673,wifi_hotspot,#EB0064
200,Puente Aranda,PUENTE ARANDA,4.625669,-74.10464,wifi_hotspot,#EB0064
201,Puentelargo,SUBA,4.693291,-74.067141,wifi_hotspot,#EB0064
202,Quiroga,RAFAEL URIBE URIBE,4.576796,-74.114377,wifi_hotspot,#EB0064
203,Rionegro,BARRIOS UNIDOS,4.680501,-74.064704,wifi_hotspot,#EB0064
204,San Mateo,MUNICIPIOS ALEDAÑOS,4.585983,-74.20546,wifi_hotspot,#EB0064
205,Santa Isabel,PUENTE ARANDA,4.601667,-74.102611,wifi_hotspot,#EB0064
206,Santa Lucía,RAFAEL URIBE URIBE,4.570964,-74.124695,wifi_hotspot,#EB0064
207,SENA,PUENTE ARANDA,4.597371,-74.110643,wifi_hotspot,#EB0064
208,Socorro,RAFAEL URIBE URIBE,4.564658,-74.125573,wifi_hotspot,#EB0064
209,Universidades,SANTA FE,4.604643,-74.06731,wifi_hotspot,#EB0064
210,Venecia,KENNEDY,4.595567,-74.14265,wifi_hotspot,#EB0064
211,Virrey,CHAPINERO,4.675994,-74.059012,wifi_hotspot,#EB0064
